Hobby,Source ID,Name,Description,URL,Type
Krzyżówki / Łamigłówki logiczne,1,LogicGames,Największa kolekcja łamigłówek online,https://youtube.com/logicgames,youtube
Krzyżówki / Łamigłówki logiczne,2,Łamigłówki.pl,Portal z zagadkami logicznymi,https://lamiglowki.pl,article
Krzyżówki / Łamigłówki logiczne,3,Łamigłówki logiczne,Historia i rodzaje łamigłówek,https://wikipedia.org/wiki/Lamiglowki,wikipedia
Narciarstwo,1,SkiMaster,Techniki narciarskie dla początkujących i zaawansowanych,https://youtube.com/skimaster,youtube
Narciarstwo,2,NartyOnline,Kompendium wiedzy o narciarstwie,https://nartyonline.pl,article
Narciarstwo,3,Narciarstwo,Historia i techniki narciarskie,https://wikipedia.org/wiki/Narciarstwo,wikipedia
Wyrób świec / mydeł,1,CandleCrafts,Tutoriale wyrobu świec i mydeł,https://youtube.com/candlecrafts,youtube
Wyrób świec / mydeł,2,HandmadeSoap,Portal o wyrobie mydła i świec,https://handmadesoap.pl,article
Wyrób świec / mydeł,3,Mydlarstwo,Historia i techniki wyrobu mydeł,https://wikipedia.org/wiki/Mydlarstwo,wikipedia
Windsurfing,1,WindsurfPro,Nauka windsurfingu krok po kroku,https://youtube.com/windsurfpro,youtube
Windsurfing,2,Windsurfing.pl,Portal dla miłośników windsurfingu,https://windsurfing.pl,article
Windsurfing,3,Windsurfing,Historia i techniki windsurfingu,https://wikipedia.org/wiki/Windsurfing,wikipedia
Tradycyjne sporty walki,1,MartialArtsWorld,Techniki sztuk walki,https://youtube.com/martialartsworld,youtube
Tradycyjne sporty walki,2,SztukiWalki.pl,Portal o sportach walki,https://sztukiwalki.pl,article
Tradycyjne sporty walki,3,Sztuki walki,Historia i rodzaje sztuk walki,https://wikipedia.org/wiki/Sztuki_walki,wikipedia
Degustacja kawy/herbaty,1,TeaCoffeemaster,Sekrety parzenia kawy i herbaty,https://youtube.com/teacoffeemaster,youtube
Degustacja kawy/herbaty,2,KawaHerbata.pl,Portal dla miłośników kawy i herbaty,https://kawaherbata.pl,article
Degustacja kawy/herbaty,3,Herbaciarstwo,Historia herbaty i kawy,https://wikipedia.org/wiki/Herbaciarstwo,wikipedia
Kolekcjonowanie figurek,1,FigureCollector,Świat kolekcjonowania figurek,https://youtube.com/figurecollector,youtube
Kolekcjonowanie figurek,2,Figurki.net,Portal kolekcjonerski,https://figurki.net,article
Kolekcjonowanie figurek,3,Kolekcjonerstwo,Historia kolekcjonerstwa figurek,https://wikipedia.org/wiki/Kolekcjonerstwo,wikipedia
Kolekcjonowanie monet,1,CoinExpert,Numizmatyka dla początkujących,https://youtube.com/coinexpert,youtube
Kolekcjonowanie monet,2,Monety.pl,Portal numizmatyczny,https://monety.pl,article
Kolekcjonowanie monet,3,Numizmatyka,Historia i zasady numizmatyki,https://wikipedia.org/wiki/Numizmatyka,wikipedia
Robótki ręczne (szydełkowanie haftowanie),1,CrochetMaster,Nauka szydełkowania i haftowania,https://youtube.com/crochetmaster,youtube
Robótki ręczne (szydełkowanie haftowanie),2,Robotki.pl,Portal o robótkach ręcznych,https://robotki.pl,article
Robótki ręczne (szydełkowanie haftowanie),3,Rękodzieło,Historia robótek ręcznych,https://wikipedia.org/wiki/Rekodzielo,wikipedia
Tworzenie aplikacji mobilnych,1,AppDevPro,Kurs tworzenia aplikacji mobilnych,https://youtube.com/appdevpro,youtube
Tworzenie aplikacji mobilnych,2,MobileDevHub,Portal dla developerów mobile,https://mobiledevhub.pl,article
Tworzenie aplikacji mobilnych,3,Aplikacje mobilne,Historia i rozwój aplikacji mobilnych,https://wikipedia.org/wiki/Aplikacje_mobilne,wikipedia
Tworzenie stron internetowych,1,WebDevMaster,Nauka tworzenia stron internetowych,https://youtube.com/webdevmaster,youtube
Tworzenie stron internetowych,2,WebDev.pl,Portal o tworzeniu stron,https://webdev.pl,article
